"local_site","snow_treatment","location","distance_from_top","date","snow_depth","comments"
"Soddie","Control","Top",1,2018-05-18,"0",""
"Soddie","Control","Topmiddle",10.5,2018-05-18,"0",""
"Soddie","Early","Bottom",39,2018-05-18,"0",""
"Soddie","Early","Bottommiddle",29.5,2018-05-18,"0",""
"Soddie","Early","Middle",20,2018-05-18,"0",""
"Soddie","Early","Top",1,2018-05-18,"0",""
"Soddie","Early","Topmiddle",10.5,2018-05-18,"10",""
"Trough","Control","Bottom",39,2018-05-18,"193",""
"Trough","Control","Bottommiddle",29.5,2018-05-18,"212",""
"Trough","Control","Middle",20,2018-05-18,"248",""
"Trough","Control","Top",1,2018-05-18,"290",""
"Trough","Control","Topmiddle",10.5,2018-05-18,"212",""
"Trough","Early","Bottom",39,2018-05-18,"155",""
"Trough","Early","Bottommiddle",29.5,2018-05-18,"160",""
"Trough","Early","Middle",20,2018-05-18,"215",""
"Trough","Early","Top",1,2018-05-18,"410",""
"Trough","Early","Topmiddle",10.5,2018-05-18,"205",""
"Audubon","Control","Bottom",39,2018-05-21,"250",""
"Audubon","Control","Bottommiddle",29.5,2018-05-21,"240",""
"Audubon","Control","Middle",20,2018-05-21,"230",""
"Audubon","Control","Top",1,2018-05-21,"13",""
"Audubon","Control","Topmiddle",10.5,2018-05-21,"175",""
"Audubon","Early","Bottom",39,2018-05-21,"95",""
"Audubon","Early","Bottommiddle",29.5,2018-05-21,"180",""
"Audubon","Early","Middle",20,2018-05-21,"100",""
"Audubon","Early","Top",1,2018-05-21,"0",""
"Audubon","Early","Topmiddle",10.5,2018-05-21,"100",""
"East_Knoll","Control","Bottom",39,2018-05-21,NaN,""
"East_Knoll","Control","Bottommiddle",29.5,2018-05-21,NaN,""
"East_Knoll","Control","Middle",20,2018-05-21,NaN,""
"East_Knoll","Control","Top",1,2018-05-21,NaN,""
"East_Knoll","Control","Topmiddle",10.5,2018-05-21,NaN,""
"East_Knoll","Early","Bottom",39,2018-05-21,"0",""
"East_Knoll","Early","Bottommiddle",29.5,2018-05-21,"0",""
"East_Knoll","Early","Middle",20,2018-05-21,"0",""
"East_Knoll","Early","Top",1,2018-05-21,"0",""
"East_Knoll","Early","Topmiddle",10.5,2018-05-21,"0",""
"Lefty","Control","Bottom",39,2018-05-21,"240",""
"Lefty","Control","Bottommiddle",29.5,2018-05-21,"215",""
"Lefty","Control","Middle",20,2018-05-21,"215",""
"Lefty","Control","Top",1,2018-05-21,"0",""
"Lefty","Control","Topmiddle",10.5,2018-05-21,"65",""
"Lefty","Early","Bottom",39,2018-05-21,"180",""
"Lefty","Early","Bottommiddle",29.5,2018-05-21,"240",""
"Lefty","Early","Middle",20,2018-05-21,"140",""
"Lefty","Early","Top",1,2018-05-21,"0",""
"Lefty","Early","Topmiddle",10.5,2018-05-21,"20",""
"Soddie","Control","Bottom",39,2018-05-21,"0",""
